GEOID,households_total,white_nonhisp_100k_plus,black_hh_income_lt25k,black_pop_below_poverty,total_population,ice_income_households,ice_poverty_mixed,source,nonfatal_shooting_rate,vacant_housing_pct,college_educated_pct,black_residents_pct,median_household_income
24510160802,1072,0,262,603,3368,-0.24440298507462688,-0.17903800475059384,acs5_2019_tract,NA,16.445830085736556,10.144253140995811,98.3372921615202,42547
24510060300,720,166,81,216,1881,0.11805555555555555,-0.02658160552897395,acs5_2019_tract,NA,19.821826280623608,49.244712990936556,45.02923976608187,72132
24510080101,1261,187,138,395,3869,0.03885804916732752,-0.05376066166968209,acs5_2019_tract,NA,13.03448275862069,32.73855702094647,61.15275264926338,66845
24510080302,1120,0,317,726,2906,-0.2830357142857143,-0.24982794218857537,acs5_2019_tract,NA,16.728624535315983,17.17267552182163,92.32622161046112,36700
24510080500,518,0,175,254,1410,-0.33783783783783783,-0.18014184397163122,acs5_2019_tract,NA,29.619565217391305,7.482993197278912,96.87943262411348,30714
24510120500,971,124,167,322,2190,-0.044284243048403706,-0.09041095890410959,acs5_2019_tract,NA,20.213640098603122,43.966040024257126,52.19178082191781,50375
24510130300,821,30,287,607,2222,-0.31303288672350793,-0.25967596759675965,acs5_2019_tract,NA,39.94147768836869,21.93771626297578,93.15931593159316,42642
24510130803,1165,267,57,33,2443,0.18025751072961374,0.09578387228817029,acs5_2019_tract,NA,7.613005551149881,53.702717101758125,8.718788374948833,56036
24510140100,2249,416,587,374,4455,-0.07603379279679857,0.009427609427609427,acs5_2019_tract,NA,15.291902071563088,49.941588785046726,42.76094276094276,57014
24510150500,608,0,234,528,1477,-0.3848684210526316,-0.35748138117806366,acs5_2019_tract,NA,18.389261744966444,13.570741097208854,93.6357481381178,32902
24510010400,1473,774,28,1,2834,0.506449422946368,0.2727593507410021,acs5_2019_tract,NA,17.06081081081081,77.51503006012024,5.892731122088921,122765
24510020200,741,277,10,25,1678,0.3603238866396761,0.1501787842669845,acs5_2019_tract,NA,22.32704402515723,74.79119210326499,10.727056019070321,84489
24510030100,1036,79,485,839,2386,-0.3918918918918919,-0.31852472757753564,acs5_2019_tract,NA,25.1985559566787,22.75737507525587,76.86504610226321,19531
24510030200,1145,347,166,314,2273,0.15807860262008733,0.014518257809062912,acs5_2019_tract,NA,14.103525881470368,57.015092230296254,34.13990321161461,72386
24510070100,773,0,217,1049,2966,-0.2807244501940492,-0.3536749831422792,acs5_2019_tract,NA,31.10516934046346,10.082872928176796,83.07484828051247,43327
24510200100,599,0,254,654,1824,-0.4240400667779633,-0.35855263157894735,acs5_2019_tract,NA,36.34431455897981,4.970513900589722,96.98464912280701,30809
24510160300,392,0,290,415,968,-0.7397959183673469,-0.4287190082644628,acs5_2019_tract,NA,52.01958384332925,6.310013717421125,93.38842975206612,14915
24510200800,784,7,217,428,2170,-0.26785714285714285,-0.19400921658986175,acs5_2019_tract,NA,26.31578947368421,11.22956645344705,89.12442396313364,48922
24510240200,1455,862,0,22,2746,0.5924398625429553,0.3058994901675164,acs5_2019_tract,NA,9.795412275263484,83.60585197934596,4.843408594319009,132281
24510250204,1476,0,942,2434,4312,-0.6382113821138211,-0.5644712430426716,acs5_2019_tract,NA,11.722488038277511,4.371584699453552,93.25139146567717,16750
24510250206,855,82,59,59,2250,0.026900584795321637,0.010222222222222223,acs5_2019_tract,NA,19.110690633869442,14.977692797960485,23.2,65304
24510250500,1687,115,387,880,4252,-0.16123295791345585,-0.17991533396048917,acs5_2019_tract,NA,31.61734900689096,6.820461384152457,34.45437441204139,37395
24510260101,1869,101,135,234,5116,-0.01819154628143392,-0.02599687255668491,acs5_2019_tract,NA,10.057747834456208,22.601803771522274,72.12666145426114,59219
24510260301,1520,11,374,1451,4741,-0.2388157894736842,-0.3037333895802573,acs5_2019_tract,NA,16.71232876712329,11.779911373707533,91.81607255853196,49005
24510270600,1817,249,149,240,5170,0.0550357732526142,0.0017408123791102514,acs5_2019_tract,NA,10.049504950495049,32.117554447651536,66.20889748549322,71847
24510010100,1389,743,0,44,3035,0.5349172066234701,0.23031301482701813,acs5_2019_tract,NA,14.25925925925926,70.5970709725873,6.754530477759473,125417
